Date,value,volume,time,tuesday,wednesday,thursday,friday,month_cos_embed,month_sin_embed,day_cos_embed,day_sin_embed
2010-12-21,2.1506669521331787,11665500,122,1,0,0,0,0.8660254037844384,-0.5000000000000004,-0.6121059825476627,-0.7907757369376986
2010-12-22,2.175333023071289,12499500,123,0,1,0,0,0.8660254037844384,-0.5000000000000004,-0.44039415155763423,-0.8978045395707417
2010-12-23,2.00600004196167,23289000,124,0,0,1,0,0.8660254037844384,-0.5000000000000004,-0.2506525322587213,-0.9680771188662041
2010-12-27,1.7033330202102661,139528500,125,0,0,0,0,0.8660254037844384,-0.5000000000000004,0.5289640103269624,-0.848644257494751
2010-12-28,1.7606669664382935,60844500,126,1,0,0,0,0.8660254037844384,-0.5000000000000004,0.6889669190756865,-0.72479278722912
2010-12-29,1.848667025566101,49788000,127,0,1,0,0,0.8660254037844384,-0.5000000000000004,0.8207634412072763,-0.5712682150947924
2010-12-30,1.7666670083999634,30616500,128,0,0,1,0,0.8660254037844384,-0.5000000000000004,0.9189578116202306,-0.3943558551133187
2010-12-31,1.775333046913147,21268500,129,0,0,0,1,0.8660254037844384,-0.5000000000000004,0.9795299412524943,-0.20129852008866114
2011-01-03,1.7746670246124268,19245000,130,0,0,0,0,1.0,0.0,0.9189578116202306,0.39435585511331855
2011-01-04,1.777999997138977,17811000,131,1,0,0,0,1.0,0.0,0.8207634412072763,0.5712682150947923
2011-01-05,1.7886669635772705,21700500,132,0,1,0,0,1.0,0.0,0.6889669190756866,0.7247927872291199
2011-01-06,1.858667016029358,30918000,133,0,0,1,0,1.0,0.0,0.5289640103269624,0.8486442574947509
2011-01-07,1.8826669454574585,33718500,134,0,0,0,1,1.0,0.0,0.3473052528448203,0.9377521321470804
2011-01-10,1.8966670036315918,20140500,135,0,0,0,0,1.0,0.0,-0.2506525322587204,0.9680771188662043
2011-01-11,1.797333002090454,25653000,136,1,0,0,0,1.0,0.0,-0.4403941515576344,0.8978045395707416
2011-01-12,1.797333002090454,14466000,137,0,1,0,0,1.0,0.0,-0.6121059825476626,0.7907757369376989
2011-01-13,1.7480000257492065,10854000,138,0,0,1,0,1.0,0.0,-0.7587581226927909,0.6513724827222223
2011-01-14,1.7166670560836792,17880000,139,0,0,0,1,1.0,0.0,-0.8743466161445821,0.48530196253108104
2011-01-18,1.7093329429626465,24325500,140,1,0,0,0,1.0,0.0,-0.9541392564000488,-0.2993631229733582
2011-01-19,1.6019999980926514,35572500,141,0,1,0,0,1.0,0.0,-0.8743466161445822,-0.4853019625310808
2011-01-20,1.5080000162124634,34198500,142,0,0,1,0,1.0,0.0,-0.7587581226927911,-0.651372482722222
2011-01-21,1.5360000133514404,18255000,143,0,0,0,1,1.0,0.0,-0.6121059825476627,-0.7907757369376986
2011-01-24,1.6326669454574585,24676500,144,0,0,0,0,1.0,0.0,-0.05064916883871355,-0.9987165071710528
2011-01-25,1.6453330516815186,19072500,145,1,0,0,0,1.0,0.0,0.15142777750457667,-0.9884683243281114
2011-01-26,1.649999976158142,16198500,146,0,1,0,0,1.0,0.0,0.3473052528448203,-0.9377521321470804
2011-01-27,1.6613329648971558,13435500,147,0,0,1,0,1.0,0.0,0.5289640103269624,-0.848644257494751
2011-01-28,1.6006669998168945,15726000,148,0,0,0,1,1.0,0.0,0.6889669190756865,-0.72479278722912
2011-01-31,1.6066670417785645,12454500,149,0,0,0,0,1.0,0.0,0.9795299412524943,-0.20129852008866114
2011-02-01,1.593999981880188,10617000,150,1,0,0,0,0.8660254037844387,0.49999999999999994,1.0,0.0
2011-02-02,1.5959999561309814,8542500,151,0,1,0,0,0.8660254037844387,0.49999999999999994,0.9749279121818236,0.2225209339563144
2011-02-03,1.5753329992294312,7680000,152,0,0,1,0,0.8660254037844387,0.49999999999999994,0.9009688679024191,0.4338837391175581
2011-02-04,1.5640000104904175,8160000,153,0,0,0,1,0.8660254037844387,0.49999999999999994,0.7818314824680298,0.6234898018587335
2011-02-07,1.5379999876022339,13426500,154,0,0,0,0,0.8660254037844387,0.49999999999999994,0.22252093395631445,0.9749279121818236
2011-02-08,1.6326669454574585,52573500,155,1,0,0,0,0.8660254037844387,0.49999999999999994,6.123233995736766e-17,1.0
2011-02-09,1.547333002090454,39534000,156,0,1,0,0,0.8660254037844387,0.49999999999999994,-0.22252093395631434,0.9749279121818236
2011-02-10,1.5479999780654907,12541500,157,0,0,1,0,0.8660254037844387,0.49999999999999994,-0.43388373911755806,0.9009688679024191
2011-02-11,1.5499999523162842,9517500,158,0,0,0,1,0.8660254037844387,0.49999999999999994,-0.6234898018587335,0.7818314824680299
2011-02-14,1.5386669635772705,19246500,159,0,0,0,0,0.8660254037844387,0.49999999999999994,-0.9749279121818237,0.2225209339563141
2011-02-15,1.5226670503616333,14305500,160,1,0,0,0,0.8660254037844387,0.49999999999999994,-1.0,1.2246467991473532e-16
2011-02-16,1.6486669778823853,61726500,161,0,1,0,0,0.8660254037844387,0.49999999999999994,-0.9749279121818237,-0.22252093395631384
2011-02-17,1.5733330249786377,39276000,162,0,0,1,0,0.8660254037844387,0.49999999999999994,-0.9009688679024191,-0.433883739117558
2011-02-18,1.5453330278396606,35560500,163,0,0,0,1,0.8660254037844387,0.49999999999999994,-0.7818314824680296,-0.6234898018587338
2011-02-22,1.4579999446868896,30969000,164,1,0,0,0,0.8660254037844387,0.49999999999999994,-1.8369701987210297e-16,-1.0
